V1	I(V1)
0.000000000000000e+00	1.012790e+00
1.000000000000000e-02	1.012787e+00
2.000000000000000e-02	1.012784e+00
3.000000000000000e-02	1.012781e+00
4.000000000000000e-02	1.012777e+00
5.000000000000000e-02	1.012774e+00
6.000000000000000e-02	1.012771e+00
7.000000000000001e-02	1.012768e+00
8.000000000000000e-02	1.012765e+00
9.000000000000000e-02	1.012762e+00
1.000000000000000e-01	1.012759e+00
1.100000000000000e-01	1.012756e+00
1.200000000000000e-01	1.012753e+00
1.300000000000000e-01	1.012751e+00
1.400000000000000e-01	1.012748e+00
1.500000000000000e-01	1.012745e+00
1.600000000000000e-01	1.012742e+00
1.700000000000000e-01	1.012739e+00
1.800000000000000e-01	1.012736e+00
1.900000000000000e-01	1.012733e+00
2.000000000000000e-01	1.012731e+00
2.100000000000000e-01	1.012728e+00
2.200000000000000e-01	1.012725e+00
2.300000000000000e-01	1.012722e+00
2.400000000000000e-01	1.012719e+00
2.500000000000000e-01	1.012716e+00
2.600000000000000e-01	1.012714e+00
2.700000000000000e-01	1.012711e+00
2.800000000000000e-01	1.012708e+00
2.900000000000000e-01	1.012705e+00
3.000000000000000e-01	1.012702e+00
3.100000000000000e-01	1.012700e+00
3.200000000000000e-01	1.012697e+00
3.300000000000000e-01	1.012694e+00
3.400000000000000e-01	1.012691e+00
3.500000000000000e-01	1.012688e+00
3.600000000000000e-01	1.012686e+00
3.700000000000000e-01	1.012683e+00
3.800000000000000e-01	1.012680e+00
3.900000000000000e-01	1.012677e+00
4.000000000000000e-01	1.012674e+00
4.100000000000000e-01	1.012672e+00
4.200000000000000e-01	1.012669e+00
4.300000000000000e-01	1.012666e+00
4.400000000000000e-01	1.012663e+00
4.500000000000000e-01	1.012660e+00
4.600000000000000e-01	1.012658e+00
4.700000000000000e-01	1.012655e+00
4.800000000000000e-01	1.012652e+00
4.900000000000000e-01	1.012649e+00
5.000000000000000e-01	1.012646e+00
5.100000000000000e-01	1.012644e+00
5.200000000000000e-01	1.012641e+00
5.300000000000000e-01	1.012638e+00
5.400000000000000e-01	1.012635e+00
5.500000000000000e-01	1.012633e+00
5.600000000000001e-01	1.012630e+00
5.700000000000001e-01	1.012627e+00
5.800000000000000e-01	1.012624e+00
5.900000000000000e-01	1.012621e+00
6.000000000000000e-01	1.012619e+00
6.100000000000000e-01	1.012616e+00
6.200000000000000e-01	1.012613e+00
6.300000000000000e-01	1.012610e+00
6.400000000000000e-01	1.012607e+00
6.500000000000000e-01	1.012605e+00
6.600000000000000e-01	1.012602e+00
6.700000000000000e-01	1.012599e+00
6.800000000000000e-01	1.012596e+00
6.900000000000001e-01	1.012594e+00
7.000000000000001e-01	1.012591e+00
7.100000000000000e-01	1.012588e+00
7.200000000000000e-01	1.012585e+00
7.300000000000000e-01	1.012582e+00
7.400000000000000e-01	1.012580e+00
7.500000000000000e-01	1.012577e+00
7.600000000000000e-01	1.012574e+00
7.700000000000000e-01	1.012571e+00
7.800000000000000e-01	1.012568e+00
7.900000000000000e-01	1.012566e+00
8.000000000000000e-01	1.012563e+00
8.100000000000001e-01	1.012560e+00
8.200000000000001e-01	1.012557e+00
8.300000000000001e-01	1.012555e+00
8.400000000000000e-01	1.012552e+00
8.500000000000000e-01	1.012549e+00
8.600000000000000e-01	1.012546e+00
8.700000000000000e-01	1.012543e+00
8.800000000000000e-01	1.012541e+00
8.900000000000000e-01	1.012538e+00
9.000000000000000e-01	1.012535e+00
9.100000000000000e-01	1.012532e+00
9.200000000000000e-01	1.012529e+00
9.300000000000000e-01	1.012527e+00
9.400000000000001e-01	1.012524e+00
9.500000000000001e-01	1.012521e+00
9.600000000000000e-01	1.012518e+00
9.700000000000000e-01	1.012516e+00
9.800000000000000e-01	1.012513e+00
9.900000000000000e-01	1.012510e+00
1.000000000000000e+00	1.012507e+00
1.010000000000000e+00	1.012504e+00
1.020000000000000e+00	1.012502e+00
1.030000000000000e+00	1.012499e+00
1.040000000000000e+00	1.012496e+00
1.050000000000000e+00	1.012493e+00
1.060000000000000e+00	1.012490e+00
1.070000000000000e+00	1.012488e+00
1.080000000000000e+00	1.012485e+00
1.090000000000000e+00	1.012482e+00
1.100000000000000e+00	1.012479e+00
1.110000000000000e+00	1.012476e+00
1.120000000000000e+00	1.012474e+00
1.130000000000000e+00	1.012471e+00
1.140000000000000e+00	1.012468e+00
1.150000000000000e+00	1.012465e+00
1.160000000000000e+00	1.012463e+00
1.170000000000000e+00	1.012460e+00
1.180000000000000e+00	1.012457e+00
1.190000000000000e+00	1.012454e+00
1.200000000000000e+00	1.012451e+00
1.210000000000000e+00	1.012449e+00
1.220000000000000e+00	1.012446e+00
1.230000000000000e+00	1.012443e+00
1.240000000000000e+00	1.012440e+00
1.250000000000000e+00	1.012437e+00
1.260000000000000e+00	1.012435e+00
1.270000000000000e+00	1.012432e+00
1.280000000000000e+00	1.012429e+00
1.290000000000000e+00	1.012426e+00
1.300000000000000e+00	1.012424e+00
1.310000000000000e+00	1.012421e+00
1.320000000000000e+00	1.012418e+00
1.330000000000000e+00	1.012415e+00
1.340000000000000e+00	1.012412e+00
1.350000000000000e+00	1.012410e+00
1.360000000000000e+00	1.012407e+00
1.370000000000000e+00	1.012404e+00
1.380000000000000e+00	1.012401e+00
1.390000000000000e+00	1.012398e+00
1.400000000000000e+00	1.012396e+00
1.410000000000000e+00	1.012393e+00
1.420000000000000e+00	1.012390e+00
1.430000000000000e+00	1.012387e+00
1.440000000000000e+00	1.012385e+00
1.450000000000000e+00	1.012382e+00
1.460000000000000e+00	1.012379e+00
1.470000000000000e+00	1.012376e+00
1.480000000000000e+00	1.012373e+00
1.490000000000000e+00	1.012371e+00
1.500000000000000e+00	1.012368e+00
1.510000000000000e+00	1.012365e+00
1.520000000000000e+00	1.012362e+00
1.530000000000000e+00	1.012359e+00
1.540000000000000e+00	1.012357e+00
1.550000000000000e+00	1.012354e+00
1.560000000000000e+00	1.012351e+00
1.570000000000000e+00	1.012348e+00
1.580000000000000e+00	1.012346e+00
1.590000000000000e+00	1.012343e+00
1.600000000000000e+00	1.012340e+00
1.610000000000000e+00	1.012337e+00
1.620000000000000e+00	1.012334e+00
1.630000000000000e+00	1.012332e+00
1.640000000000000e+00	1.012329e+00
1.650000000000000e+00	1.012326e+00
1.660000000000000e+00	1.012323e+00
1.670000000000000e+00	1.012321e+00
1.680000000000000e+00	1.012318e+00
1.690000000000000e+00	1.012315e+00
1.700000000000000e+00	1.012312e+00
1.710000000000000e+00	1.012309e+00
1.720000000000000e+00	1.012307e+00
1.730000000000000e+00	1.012304e+00
1.740000000000000e+00	1.012301e+00
1.750000000000000e+00	1.012298e+00
1.760000000000000e+00	1.012295e+00
1.770000000000000e+00	1.012293e+00
1.780000000000000e+00	1.012290e+00
1.790000000000000e+00	1.012287e+00
1.800000000000000e+00	1.012284e+00
1.810000000000000e+00	1.012282e+00
1.820000000000000e+00	1.012279e+00
1.830000000000000e+00	1.012276e+00
1.840000000000000e+00	1.012273e+00
1.850000000000000e+00	1.012270e+00
1.860000000000000e+00	1.012268e+00
1.870000000000000e+00	1.012265e+00
1.880000000000000e+00	1.012262e+00
1.890000000000000e+00	1.012259e+00
1.900000000000000e+00	1.012257e+00
1.910000000000000e+00	1.012254e+00
1.920000000000000e+00	1.012251e+00
1.930000000000000e+00	1.012248e+00
1.940000000000000e+00	1.012245e+00
1.950000000000000e+00	1.012243e+00
1.960000000000000e+00	1.012240e+00
1.970000000000000e+00	1.012237e+00
1.980000000000000e+00	1.012234e+00
1.990000000000000e+00	1.012231e+00
2.000000000000000e+00	1.012229e+00
2.010000000000000e+00	1.012226e+00
2.020000000000000e+00	1.012223e+00
2.030000000000000e+00	1.012220e+00
2.040000000000000e+00	1.012217e+00
2.050000000000000e+00	1.012215e+00
2.060000000000000e+00	1.012212e+00
2.070000000000000e+00	1.012209e+00
2.080000000000000e+00	1.012206e+00
2.090000000000000e+00	1.012204e+00
2.100000000000000e+00	1.012201e+00
2.110000000000000e+00	1.012198e+00
2.120000000000000e+00	1.012195e+00
2.130000000000000e+00	1.012192e+00
2.140000000000000e+00	1.012190e+00
2.150000000000000e+00	1.012187e+00
2.160000000000000e+00	1.012184e+00
2.170000000000000e+00	1.012181e+00
2.180000000000000e+00	1.012178e+00
2.190000000000000e+00	1.012176e+00
2.200000000000000e+00	1.012173e+00
2.210000000000000e+00	1.012170e+00
2.220000000000000e+00	1.012167e+00
2.230000000000000e+00	1.012165e+00
2.240000000000000e+00	1.012162e+00
2.250000000000000e+00	1.012159e+00
2.260000000000000e+00	1.012156e+00
2.270000000000000e+00	1.012153e+00
2.280000000000000e+00	1.012151e+00
2.290000000000000e+00	1.012148e+00
2.300000000000000e+00	1.012145e+00
2.310000000000000e+00	1.012142e+00
2.320000000000000e+00	1.012139e+00
2.330000000000000e+00	1.012137e+00
2.340000000000000e+00	1.012134e+00
2.350000000000000e+00	1.012131e+00
2.360000000000000e+00	1.012128e+00
2.370000000000000e+00	1.012126e+00
2.380000000000000e+00	1.012123e+00
2.390000000000000e+00	1.012120e+00
2.400000000000000e+00	1.012117e+00
2.410000000000000e+00	1.012114e+00
2.420000000000000e+00	1.012112e+00
2.430000000000000e+00	1.012109e+00
2.440000000000000e+00	1.012106e+00
2.450000000000000e+00	1.012103e+00
2.460000000000000e+00	1.012100e+00
2.470000000000000e+00	1.012098e+00
2.480000000000000e+00	1.012095e+00
2.490000000000000e+00	1.012092e+00
2.500000000000000e+00	1.012089e+00
2.510000000000000e+00	1.012087e+00
2.520000000000000e+00	1.012084e+00
2.530000000000000e+00	1.012081e+00
2.540000000000000e+00	1.012078e+00
2.550000000000000e+00	1.012075e+00
2.560000000000000e+00	1.012073e+00
2.570000000000000e+00	1.012070e+00
2.580000000000000e+00	1.012067e+00
2.590000000000000e+00	1.012064e+00
2.600000000000000e+00	1.012061e+00
2.610000000000000e+00	1.012059e+00
2.620000000000000e+00	1.012056e+00
2.630000000000000e+00	1.012053e+00
2.640000000000000e+00	1.012050e+00
2.650000000000000e+00	1.012048e+00
2.660000000000000e+00	1.012045e+00
2.670000000000000e+00	1.012042e+00
2.680000000000000e+00	1.012039e+00
2.690000000000000e+00	1.012036e+00
2.700000000000000e+00	1.012034e+00
2.710000000000000e+00	1.012031e+00
2.720000000000000e+00	1.012028e+00
2.730000000000000e+00	1.012025e+00
2.740000000000000e+00	1.012022e+00
2.750000000000000e+00	1.012020e+00
2.760000000000000e+00	1.012017e+00
2.770000000000000e+00	1.012014e+00
2.780000000000000e+00	1.012011e+00
2.790000000000000e+00	1.012009e+00
2.800000000000000e+00	1.012006e+00
2.810000000000000e+00	1.012003e+00
2.820000000000000e+00	1.012000e+00
2.830000000000000e+00	1.011997e+00
2.840000000000000e+00	1.011995e+00
2.850000000000000e+00	1.011992e+00
2.860000000000000e+00	1.011989e+00
2.870000000000000e+00	1.011986e+00
2.880000000000000e+00	1.011984e+00
2.890000000000000e+00	1.011981e+00
2.900000000000000e+00	1.011978e+00
2.910000000000000e+00	1.011975e+00
2.920000000000000e+00	1.011972e+00
2.930000000000000e+00	1.011970e+00
2.940000000000000e+00	1.011967e+00
2.950000000000000e+00	1.011964e+00
2.960000000000000e+00	1.011961e+00
2.970000000000000e+00	1.011958e+00
2.980000000000000e+00	1.011956e+00
2.990000000000000e+00	1.011953e+00
3.000000000000000e+00	1.011950e+00
3.010000000000000e+00	1.011947e+00
3.020000000000000e+00	1.011945e+00
3.030000000000000e+00	1.011942e+00
3.040000000000000e+00	1.011939e+00
3.050000000000000e+00	1.011936e+00
3.060000000000000e+00	1.011933e+00
3.070000000000000e+00	1.011931e+00
3.080000000000000e+00	1.011928e+00
3.090000000000000e+00	1.011925e+00
3.100000000000000e+00	1.011922e+00
3.110000000000000e+00	1.011919e+00
3.120000000000000e+00	1.011917e+00
3.130000000000000e+00	1.011914e+00
3.140000000000000e+00	1.011911e+00
3.150000000000000e+00	1.011908e+00
3.160000000000000e+00	1.011906e+00
3.170000000000000e+00	1.011903e+00
3.180000000000000e+00	1.011900e+00
3.190000000000000e+00	1.011897e+00
3.200000000000000e+00	1.011894e+00
3.210000000000000e+00	1.011892e+00
3.220000000000000e+00	1.011889e+00
3.230000000000000e+00	1.011886e+00
3.240000000000000e+00	1.011883e+00
3.250000000000000e+00	1.011881e+00
3.260000000000000e+00	1.011878e+00
3.270000000000000e+00	1.011875e+00
3.280000000000000e+00	1.011872e+00
3.290000000000000e+00	1.011869e+00
3.300000000000000e+00	1.011867e+00
3.310000000000000e+00	1.011864e+00
3.320000000000000e+00	1.011861e+00
3.330000000000000e+00	1.011858e+00
3.340000000000000e+00	1.011855e+00
3.350000000000000e+00	1.011853e+00
3.360000000000000e+00	1.011850e+00
3.370000000000000e+00	1.011847e+00
3.380000000000000e+00	1.011844e+00
3.390000000000000e+00	1.011842e+00
3.400000000000000e+00	1.011839e+00
3.410000000000000e+00	1.011836e+00
3.420000000000000e+00	1.011833e+00
3.430000000000000e+00	1.011830e+00
3.440000000000000e+00	1.011828e+00
3.450000000000000e+00	1.011825e+00
3.460000000000000e+00	1.011822e+00
3.470000000000000e+00	1.011819e+00
3.480000000000000e+00	1.011817e+00
3.490000000000000e+00	1.011814e+00
3.500000000000000e+00	1.011811e+00
3.510000000000000e+00	1.011808e+00
3.520000000000000e+00	1.011805e+00
3.530000000000000e+00	1.011803e+00
3.540000000000000e+00	1.011800e+00
3.550000000000000e+00	1.011797e+00
3.560000000000000e+00	1.011794e+00
3.570000000000000e+00	1.011791e+00
3.580000000000000e+00	1.011789e+00
3.590000000000000e+00	1.011786e+00
3.600000000000000e+00	1.011783e+00
3.610000000000000e+00	1.011780e+00
3.620000000000000e+00	1.011778e+00
3.630000000000000e+00	1.011775e+00
3.640000000000000e+00	1.011772e+00
3.650000000000000e+00	1.011769e+00
3.660000000000000e+00	1.011766e+00
3.670000000000000e+00	1.011764e+00
3.680000000000000e+00	1.011761e+00
3.690000000000000e+00	1.011758e+00
3.700000000000000e+00	1.011755e+00
3.710000000000000e+00	1.011752e+00
3.720000000000000e+00	1.011750e+00
3.730000000000000e+00	1.011747e+00
3.740000000000000e+00	1.011744e+00
3.750000000000000e+00	1.011741e+00
3.760000000000000e+00	1.011739e+00
3.770000000000000e+00	1.011736e+00
3.780000000000000e+00	1.011733e+00
3.790000000000000e+00	1.011730e+00
3.800000000000000e+00	1.011727e+00
3.810000000000000e+00	1.011725e+00
3.820000000000000e+00	1.011722e+00
3.830000000000000e+00	1.011719e+00
3.840000000000000e+00	1.011716e+00
3.850000000000000e+00	1.011714e+00
3.860000000000000e+00	1.011711e+00
3.870000000000000e+00	1.011708e+00
3.880000000000000e+00	1.011705e+00
3.890000000000000e+00	1.011702e+00
3.900000000000000e+00	1.011700e+00
3.910000000000000e+00	1.011697e+00
3.920000000000000e+00	1.011694e+00
3.930000000000000e+00	1.011691e+00
3.940000000000000e+00	1.011688e+00
3.950000000000000e+00	1.011686e+00
3.960000000000000e+00	1.011683e+00
3.970000000000000e+00	1.011680e+00
3.980000000000000e+00	1.011677e+00
3.990000000000000e+00	1.011675e+00
4.000000000000000e+00	1.011672e+00
4.010000000000000e+00	1.011669e+00
4.020000000000000e+00	1.011666e+00
4.030000000000000e+00	1.011663e+00
4.040000000000000e+00	1.011661e+00
4.050000000000000e+00	1.011658e+00
4.060000000000000e+00	1.011655e+00
4.070000000000000e+00	1.011652e+00
4.080000000000000e+00	1.011649e+00
4.090000000000000e+00	1.011647e+00
4.100000000000000e+00	1.011644e+00
4.110000000000000e+00	1.011641e+00
4.120000000000000e+00	1.011638e+00
4.130000000000000e+00	1.011636e+00
4.140000000000000e+00	1.011633e+00
4.150000000000000e+00	1.011630e+00
4.160000000000000e+00	1.011627e+00
4.170000000000000e+00	1.011624e+00
4.180000000000000e+00	1.011622e+00
4.190000000000000e+00	1.011619e+00
4.200000000000000e+00	1.011616e+00
4.210000000000000e+00	1.011613e+00
4.220000000000000e+00	1.011611e+00
4.230000000000000e+00	1.011608e+00
4.240000000000000e+00	1.011605e+00
4.250000000000000e+00	1.011602e+00
4.260000000000000e+00	1.011599e+00
4.270000000000000e+00	1.011597e+00
4.280000000000000e+00	1.011594e+00
4.290000000000000e+00	1.011591e+00
4.300000000000000e+00	1.011588e+00
4.310000000000000e+00	1.011585e+00
4.320000000000000e+00	1.011583e+00
4.330000000000000e+00	1.011580e+00
4.340000000000000e+00	1.011577e+00
4.350000000000001e+00	1.011574e+00
4.360000000000000e+00	1.011572e+00
4.370000000000000e+00	1.011569e+00
4.380000000000000e+00	1.011566e+00
4.390000000000000e+00	1.011563e+00
4.400000000000000e+00	1.011560e+00
4.410000000000000e+00	1.011558e+00
4.420000000000000e+00	1.011555e+00
4.430000000000000e+00	1.011552e+00
4.440000000000000e+00	1.011549e+00
4.450000000000000e+00	1.011546e+00
4.460000000000000e+00	1.011544e+00
4.470000000000000e+00	1.011541e+00
4.480000000000000e+00	1.011538e+00
4.490000000000000e+00	1.011535e+00
4.500000000000000e+00	1.011533e+00
4.510000000000000e+00	1.011530e+00
4.520000000000000e+00	1.011527e+00
4.530000000000000e+00	1.011524e+00
4.540000000000000e+00	1.011521e+00
4.550000000000000e+00	1.011519e+00
4.560000000000000e+00	1.011516e+00
4.570000000000000e+00	1.011513e+00
4.580000000000000e+00	1.011510e+00
4.590000000000000e+00	1.011508e+00
4.600000000000001e+00	1.011505e+00
4.610000000000000e+00	1.011502e+00
4.620000000000000e+00	1.011499e+00
4.630000000000000e+00	1.011496e+00
4.640000000000000e+00	1.011494e+00
4.650000000000000e+00	1.011491e+00
4.660000000000000e+00	1.011488e+00
4.670000000000000e+00	1.011485e+00
4.680000000000000e+00	1.011482e+00
4.690000000000000e+00	1.011480e+00
4.700000000000000e+00	1.011477e+00
4.710000000000000e+00	1.011474e+00
4.720000000000000e+00	1.011471e+00
4.730000000000000e+00	1.011469e+00
4.740000000000000e+00	1.011466e+00
4.750000000000000e+00	1.011463e+00
4.760000000000000e+00	1.011460e+00
4.770000000000000e+00	1.011457e+00
4.780000000000000e+00	1.011455e+00
4.790000000000000e+00	1.011452e+00
4.800000000000000e+00	1.011449e+00
4.810000000000000e+00	1.011446e+00
4.820000000000000e+00	1.011444e+00
4.830000000000000e+00	1.011441e+00
4.840000000000000e+00	1.011438e+00
4.850000000000001e+00	1.011435e+00
4.860000000000000e+00	1.011432e+00
4.870000000000000e+00	1.011430e+00
4.880000000000000e+00	1.011427e+00
4.890000000000000e+00	1.011424e+00
4.900000000000000e+00	1.011421e+00
4.910000000000000e+00	1.011418e+00
4.920000000000000e+00	1.011416e+00
4.930000000000000e+00	1.011413e+00
4.940000000000000e+00	1.011410e+00
4.950000000000000e+00	1.011407e+00
4.960000000000000e+00	1.011405e+00
4.970000000000000e+00	1.011402e+00
4.980000000000000e+00	1.011399e+00
4.990000000000000e+00	1.011396e+00
5.000000000000000e+00	1.011393e+00
5.010000000000000e+00	1.011391e+00
5.020000000000000e+00	1.011388e+00
5.030000000000000e+00	1.011385e+00
5.040000000000000e+00	1.011382e+00
5.050000000000000e+00	1.011380e+00
5.060000000000000e+00	1.011377e+00
5.070000000000000e+00	1.011374e+00
5.080000000000000e+00	1.011371e+00
5.090000000000000e+00	1.011368e+00
5.100000000000001e+00	1.011366e+00
5.110000000000000e+00	1.011363e+00
5.120000000000000e+00	1.011360e+00
